rowname,Category,k141_135924_AM_X3_bin_5_orig,k141_274931_AM_X3_bin_5_orig_fragment_1,N_16293_len_28863_cycle_0,N_19721_len_20494_cycle_0,N_28022_len_19338_cycle_0,N_28103_len_38393_cycle_1,N_3_len_7569_cycle_0,N_39617_len_27357_cycle_0,N_8053_len_9432_cycle_1,NODE_1_length_26585_cov_5.614735_AM_X3_bin_2_permissive,NODE_29_length_35341_cov_10.260577_AM_X1_bin_4_strict,NODE_3_length_14900_cov_4.022195_AM_X3_bin_1_permissive,NODE_64_length_14526_cov_6.215171_AM_X3_bin_3_strict
52,Structural,0,0,0,0,0,0,1,0,0,0,0,0,0
53,"DNA replication, recombination, repair, nucleotide metabolism",0,0,0,0,0,0,0,0,1,0,0,0,0
54,Structural,0,0,0,1,0,0,0,1,0,0,1,0,0
55,"DNA replication, recombination, repair, nucleotide metabolism",0,0,0,0,0,0,0,0,1,0,0,0,0
56,Structural,0,1,0,0,0,0,0,0,0,0,1,0,0
57,Structural,0,0,0,0,0,0,0,0,0,0,1,0,1
58,UNK,0,1,0,1,0,0,0,1,0,0,1,1,0
59,Structural,0,0,0,1,0,0,0,1,0,0,1,1,0
60,Structural,0,0,0,0,0,0,0,0,0,1,0,0,0
61,"Transcription, translation, protein synthesis",0,0,0,0,0,0,0,1,0,0,1,0,1
62,Not found,0,0,0,0,0,0,0,0,0,1,0,0,0
63,Structural,0,0,0,1,0,0,0,1,0,0,1,1,0
64,Structural,0,0,0,1,0,0,0,1,0,0,1,1,0
65,Structural,0,0,0,1,0,0,0,1,0,0,1,0,0
66,Structural,0,0,0,0,0,0,0,0,0,0,1,0,0
67,Structural,0,0,0,1,0,0,0,1,0,0,1,0,0
68,Structural,0,0,0,1,0,0,0,1,0,0,1,1,0
69,Structural,0,1,0,1,0,0,0,1,0,0,1,1,0
70,Structural,0,0,0,0,0,0,1,0,0,0,0,0,0
71,"Transcription, translation, protein synthesis",0,0,0,0,0,0,0,0,0,1,0,0,0
72,Not found,0,0,0,0,0,0,0,0,1,0,0,0,0
73,Structural,0,0,0,1,0,0,0,1,0,0,0,0,0
74,Structural,0,0,0,0,0,0,0,0,0,1,0,0,0
75,Structural,0,0,0,0,0,1,0,0,0,0,0,0,0
76,Structural,0,0,0,0,0,0,0,0,0,0,1,0,1
77,"DNA replication, recombination, repair, nucleotide metabolism",0,0,0,0,0,1,0,0,0,0,0,0,0
78,"DNA replication, recombination, repair, nucleotide metabolism",0,0,0,0,0,0,0,1,0,0,0,0,0
79,Antibiotic resistance-associated,0,0,0,0,0,1,0,0,0,1,0,0,0
80,other,0,0,0,0,0,0,0,0,0,0,1,0,1
81,Virulence-associated,0,0,0,0,0,0,0,0,1,0,0,0,0
